City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mărtiniş,46.23,25.38,16.11,93,54,0.83,RO,1592095197
Punta Arenas,-53.15,-70.92,-4.0,85,26,1.5,CL,1592095085
Port Elizabeth,-33.92,25.57,9.0,87,100,2.1,ZA,1592095092
Cherskiy,68.75,161.3,20.06,40,0,5.45,RU,1592095087
Hamilton,39.18,-84.53,22.0,56,75,3.6,US,1592094829
Mataura,-46.19,168.86,7.68,57,0,1.5,NZ,1592095084
Novovarshavka,54.17,74.69,9.66,65,0,6.16,RU,1592095106
Tuatapere,-46.13,167.68,9.62,67,0,2.36,NZ,1592094805
Yellowknife,62.46,-114.35,20.0,34,75,8.7,CA,1592094901
Hilo,19.73,-155.09,28.0,58,90,6.7,US,1592095084
Luangwa,-15.62,30.42,18.64,72,31,4.86,ZM,1592095198
Vila Franca do Campo,37.72,-25.43,14.0,76,20,3.1,PT,1592095112
Atuona,-9.8,-139.03,27.06,79,91,8.87,PF,1592095094
Marawi,8.0,124.29,26.79,68,100,0.57,PH,1592095119
Hobart,-42.88,147.33,13.0,66,75,4.1,AU,1592094920
Puerto Ayora,-0.74,-90.35,22.22,91,12,3.13,EC,1592095086
Jaumave,23.42,-99.38,30.0,33,40,6.2,MX,1592095198
Oktyabr'skoye,43.06,44.74,17.0,93,61,1.0,RU,1592095198
Carnarvon,-24.87,113.63,17.02,40,0,9.37,AU,1592095091
Avarua,-21.21,-159.78,24.0,57,97,3.6,CK,1592095085
Tuktoyaktuk,69.45,-133.04,16.0,59,75,6.7,CA,1592095092
Bluff,-46.6,168.33,7.14,67,0,3.39,NZ,1592095092
Vaini,-21.2,-175.2,23.0,73,75,5.7,TO,1592095085
Tyup,42.73,78.36,14.0,46,0,0.77,KG,1592095199
Airai,-8.93,125.41,20.96,57,0,2.71,TL,1592095085
Saint George,37.1,-113.58,33.0,3,1,12.3,US,1592095100
Kerema,-7.96,145.78,29.18,69,2,1.78,PG,1592095199
Gboko,7.32,9.0,25.38,82,100,2.53,NG,1592095199
Kahului,20.89,-156.47,31.0,43,20,12.3,US,1592094884
Tiksi,71.69,128.87,0.42,95,100,3.04,RU,1592095088
Lorengau,-2.02,147.27,29.99,68,0,4.21,PG,1592094794
Albany,42.6,-73.97,12.78,53,13,1.83,US,1592095090
Vokhtoga,58.81,41.05,6.58,89,67,2.12,RU,1592095199
Torbay,47.67,-52.73,18.33,93,40,5.1,CA,1592094913
